SSI-D00791015-LL-BWH,"Zalekia Plain Casual Blouse (L,Broken White)",154
SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",138
SSI-D00791091-XL-BWH,"Zalekia Plain Casual Blouse (XL,Broken White)",137
SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",8
SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",97
SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",2
SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",13
SSI-D01037807-X3-BWH,"Dellaya Plain Loose Big Blouse (XXXL,Broken White)",74
SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",54
SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",8
SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",182
SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",121
SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",110
SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",65
SSI-D01220346-LL-SAL,"Devibav Plain Trump Blouse (L,Salem)",151
SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",101
SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",140
SSI-D01220357-SS-YEL,"Devibav Plain Trump Blouse (S,Yellow)",74
SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",216
SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",105
SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",116
SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",186
SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",143
SSI-D01326223-MM-KHA,"Siunfhi Ethnic Trump Blouse (M,Khaki)",209
SSI-D01326286-LL-KHA,"Siunfhi Ethnic Trump Blouse (L,Khaki)",210
SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",127
SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",73
SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",44
SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",76
SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",77
SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",52
